N;p;q;found_divisor;time;divisor_equal;base_size
1414537;1439;983;983;0.0;True;12
434409907;25537;17011;17011;0.0;True;15
276566743406620853;446467507;619455479;619455479;0.04441070556640625;True;30
8388389161;307481;27281;27281;0.0;True;20
12249503417;57917;211501;57917;0.005993366241455078;True;19
1013;1;1013;57917;0.017981767654418945;False;10
4208899943;21821;192883;21821;0.0009992122650146484;True;18
674964659;18133;37223;18133;0.0009865760803222656;True;16
3126060631;130639;23929;23929;0.0010159015655517578;True;17
20795037841;51769;401689;51769;0.016988754272460938;True;19
90283;137;659;137;0.0;True;11
81593902557922961;470088413;173571397;470088413;0.03495645523071289;True;30
38874916161329;10679479;3640151;3640151;0.006976127624511719;True;24
620213654789;346699;1788911;346699;0.002997159957885742;True;22
671371;509;1319;509;0.0;True;11
6731243;2243;3001;2243;0.0;True;12
1427584845203261;193668593;7371277;193668593;0.03797411918640137;True;28
9478393920451499;124610933;76063903;124610933;0.011989355087280273;True;27
36033797;1301;27697;1301;0.0009982585906982422;True;19
10207;173;59;173;0.0;True;10
659389;907;727;907;0.0;True;10
0;11;0;2;0.0;False;10
2871060499;46747;61417;46747;0.0;True;17
63504306241067;6391817;9935251;6391817;0.007980108261108398;True;25
16237;1249;13;13;0.0;True;12
140654616097;769357;182821;182821;0.0009992122650146484;True;20
433469289969193;51033197;8493869;8493869;0.010003328323364258;True;26
5035215203;94273;53411;53411;0.0;True;19
685801;677;1013;677;0.0;True;10
533914688292691367;1069271381;499325707;499325707;0.012975215911865234;True;30
668053;953;701;701;0.0;True;10
816059603968423;30584077;26682499;30584077;0.03197908401489258;True;27
7034044990787;8331679;844253;844253;0.0009982585906982422;True;23
3044924284921;438829;6938749;438829;0.002997159957885742;True;23
88694648269;220009;403141;220009;0.0009989738464355469;True;19
2176991794843;867059;2510777;2510777;0.1448523998260498;True;22
6399809277467;2460989;2600503;2600503;0.0029947757720947266;True;22
27443257439321;7295543;3761647;7295543;0.005006074905395508;True;23
532985028128731;16761431;31798301;31798301;0.004995822906494141;True;25
332034203447;564979;587693;587693;0.0020143985748291016;True;20
2637555169;62417;42257;62417;0.000997781753540039;True;16
5269;479;11;11;0.0;True;11
351433;457;769;769;0.0;True;10
19660424983;228299;86117;86117;0.004998683929443359;True;18
5312970241;91513;58057;91513;0.0009999275207519531;True;17
405270577049731;25230619;16062649;16062649;0.006990671157836914;True;26
7302711860228803;179854879;40603357;40603357;0.04494953155517578;True;28
508410613483;166409;3055187;166409;0.001998424530029297;True;22
601080301;47701;12601;12601;0.0;True;17
48173;719;67;67;0.0;True;12
433717;2423;179;179;0.0;True;12
37313483;48271;773;773;0.0;True;16
1724470411;52609;32779;52609;0.0;True;16
445;5;89;5;0.0;True;10
8998423243681;1827127;4924903;1827127;0.0049953460693359375;True;23
4837453723;33923;142601;33923;0.0009984970092773438;True;18
5426008633;102229;53077;53077;0.0009987354278564453;True;17
7240175273897;6101321;1186657;1186657;0.016982555389404297;True;23
553442329527449;21024959;26323111;21024959;0.010988950729370117;True;25
62555947;11783;5309;5309;0.0;True;15
266599517;18269;14593;14593;0.0;True;15
206402063360105947;712537681;289671787;712537681;0.08591294288635254;True;30
482893;751;643;751;0.000997781753540039;True;11
2052415153;31699;64747;31699;0.0;True;17
16549315016869;3335581;4961449;3335581;0.004999637603759766;True;23
1195715761;36947;32363;36947;0.0;True;16
1561411;1217;1283;1217;0.0;True;12
6579094581061;1528469;4304369;1528469;0.0029959678649902344;True;23
3527;1;3527;1528469;0.08489799499511719;False;14
5687438829463;8339561;681983;681983;0.003996610641479492;True;23
6274356613980593;550804781;11391253;11391253;1.4325697422027588;True;30
21851992213;140281;155773;140281;0.001997709274291992;True;19
65949781;34583;1907;1907;0.0;True;16
712192275956937151;904391693;787482107;787482107;0.23975467681884766;True;30
11551115874489313;121462507;95100259;121462507;0.013990163803100586;True;27
17272097;2953;5849;2953;0.0;True;14
1244297;2887;431;2887;0.0;True;12
91311678307273;13236479;6898487;13236479;0.0030143260955810547;True;24
116353651120039;7758871;14996209;14996209;0.04894542694091797;True;24
82942827767011319;362305571;228930589;228930589;0.04395484924316406;True;29
3233674248808261;65222569;49579069;65222569;0.01298666000366211;True;26
297171735805171;10736861;27677711;27677711;0.013985395431518555;True;25
1339043;941;1423;941;0.0;True;11
3847029577751;3224801;1192951;1192951;0.003995656967163086;True;24
176995358692969;18135679;9759511;9759511;0.010988712310791016;True;25
96463811381333537;293947201;328167137;328167137;0.05694150924682617;True;29
843443191;12451;67741;12451;0.0;True;20
616223740214629;18464483;33373463;18464483;0.009790182113647461;True;26
4341219923;63803;68041;63803;0.0005164146423339844;True;18
135673301;2791;48611;2791;0.0;True;16
1324174802617;30133919;43943;43943;0.0029973983764648438;True;25
101341960293949061;244409947;414639263;244409947;0.009990215301513672;True;29
88721113717;440441;201437;440441;0.0009982585906982422;True;19
1002987553;57389;17477;57389;0.0;True;18
632249;563;1123;563;0.0;True;11
1699705863644213;38108887;44601299;38108887;3.14221453666687;True;27
415811358409553;28827109;14424317;14424317;0.04593491554260254;True;28
1923226149041;1923709;999749;999749;0.02397608757019043;True;25
21273479753959;764947;27810397;764947;0.0019979476928710938;True;25
8519011036378387;129886117;65588311;65588311;0.010988712310791016;True;27
31299035628510511;118554437;264005603;264005603;0.04196286201477051;True;28
965319681377917;32570159;29638163;32570159;0.019979000091552734;True;25
14545960324669;2624813;5541713;2624813;0.002996683120727539;True;24
261433126811;129763;2014697;129763;0.0009992122650146484;True;22
29508364489474693;338237233;87241621;87241621;0.20279264450073242;True;29
236141530870380557;237773183;993137779;993137779;41.36323833465576;True;30
3067011532164607;52445179;58480333;52445179;0.002532958984375;True;28
25141918469797223;66145021;380102963;66145021;0.45772647857666016;True;30
73305151043;174431;420253;420253;0.039958953857421875;True;19
11391784319;120511;94529;94529;0.0010037422180175781;True;18
5643078800929;2948411;1913939;1913939;0.00099945068359375;True;22
2726428871;29879;91249;29879;0.0;True;19
131959401723437669;246203183;535977643;246203183;0.02897047996520996;True;29
12169;283;43;283;0.0;True;10
305483047943;2138623;142841;142841;0.0009992122650146484;True;23
140843645573;631753;222941;222941;0.004994392395019531;True;21
63982120921;245023;261127;245023;0.003996133804321289;True;18
2255660243;40289;55987;55987;0.0;True;19
26885909;4751;5659;4751;0.00099945068359375;True;13
284460493739;948907;299777;299777;0.0029969215393066406;True;20
7883202233;598891;13163;13163;0.0009989738464355469;True;20
95377;127;751;127;0.0;True;10
283909337779591;13631323;20827717;13631323;0.010989189147949219;True;25
94029151357270109;188183717;499666777;188183717;0.03895974159240723;True;29
2607110164014259;10243591;254511349;10243591;0.01298666000366211;True;28
5506981219;50053;110023;50053;0.00099945068359375;True;17
2233347331;22051;101281;22051;0.0009987354278564453;True;17
955207219613;935719;1020827;935719;0.0029964447021484375;True;20
5156322456653;3031681;1700813;1700813;0.0029969215393066406;True;22
179282088720819451;462554971;387590881;387590881;0.12436270713806152;True;29
1382341;1613;857;857;0.0;True;11
665879;1097;607;607;0.0;True;12
1281763846001;2189167;585503;585503;0.004983663558959961;True;22
4428569;2663;1663;1663;0.0;True;12
542743;1327;409;409;0.0;True;11
6410631811;147571;43441;43441;0.0009989738464355469;True;20
180411890089;1157503;155863;155863;0.0;True;22
10395836147183;1622059;6409037;1622059;0.0020151138305664062;True;23
11229109469;254461;44129;44129;0.0;True;18
87398003501;177379;492719;177379;0.0;True;19
1256534402571341;88033003;14273447;14273447;0.002997875213623047;True;27
128549898677;359101;357977;359101;0.0009982585906982422;True;21
2598046593533;1395553;1861661;1395553;0.0019981861114501953;True;21
3094597337101;1585559;1951739;1951739;0.005993843078613281;True;21
1778431;599;2969;2969;0.0;True;12
65109280066306783;205313729;317120927;205313729;0.05294084548950195;True;29
10759787422150007;114394073;94058959;114394073;0.15982365608215332;True;29
678751;809;839;839;0.0;True;10
131942339;6791;19429;6791;0.0;True;15
118833251;5419;21929;5419;0.0;True;17
50550931;4027;12553;4027;0.0;True;14
3121202817627571;42076721;74178851;42076721;0.01698160171508789;True;27
13561574933;328901;41233;328901;0.0;True;19
148163;647;229;229;0.0;True;10
3125599;1753;1783;1783;0.0;True;11
139097277500107;23025931;6040897;6040897;0.0039958953857421875;True;25
1877277694985233;47824129;39253777;47824129;0.0009984970092773438;True;26
111937521934053853;618643777;180940189;180940189;0.022975921630859375;True;30
409379816689;469363;872203;872203;0.002983570098876953;True;20
6593251827401;3966961;1662041;1662041;0.007006168365478516;True;22
290729;947;307;307;0.0;True;10
903923147;29863;30269;30269;0.0009989738464355469;True;15
772747;463;1669;463;0.0;True;11
104364061621;300317;347513;300317;0.0009989738464355469;True;19
215023957;26821;8017;8017;0.0;True;15
8802127;3413;2579;2579;0.0009953975677490234;True;13
38013686923;219881;172883;172883;0.0;True;18
487466587;26993;18059;26993;0.0;True;16
219310658894976071;430982707;508861853;430982707;0.02897477149963379;True;29
148487;83;1789;83;0.0;True;14
88382353601367461;299611033;294990317;294990317;0.031973838806152344;True;29
9183997;1373;6689;6689;0.0;True;13
164497;607;271;271;0.0;True;10
1903057833117923;39589807;48069389;39589807;1.5921504497528076;True;26
87104089;12263;7103;7103;0.0;True;15
1381169882171;533711;2587861;533711;0.0069925785064697266;True;22
9823226206879;1228459;7996381;1228459;0.002997159957885742;True;23
40308504265745801;169967219;237154579;237154579;0.015984058380126953;True;28
255319;1949;131;131;0.0;True;11
3383711;2621;1291;1291;0.0;True;12
699812430962155067;913509029;766070623;766070623;0.06693029403686523;True;30
2689509676571251;69412403;38746817;38746817;0.022257089614868164;True;27
633104372390951;11201119;56521529;11201119;0.648322343826294;True;26
1206258404783;166297;7253639;166297;0.0029969215393066406;True;26
1946567053;73597;26449;26449;0.0009992122650146484;True;17
48934226347001;6137567;7972903;7972903;0.0029964447021484375;True;24
103845126370922467;343205647;302574061;302574061;0.020978689193725586;True;29
181463189;15511;11699;15511;0.00099945068359375;True;14
148556583795539;11654441;12746779;11654441;0.19681668281555176;True;24
87947125921;113921;772001;113921;0.001016378402709961;True;20
141148771944757;4281779;32964983;4281779;0.015980005264282227;True;25
1105378271;24107;45853;45853;0.0;True;17
59722419930442541;89514247;667183403;667183403;0.19979524612426758;True;30
84507803605361;6975239;12115399;12115399;0.3629167079925537;True;24
13797923157902083;109382281;126144043;109382281;0.02996993064880371;True;28
90416645279;108709;831731;108709;0.00099945068359375;True;20
16226994397;119447;135851;119447;0.0;True;18
63155597359783;5466257;11553719;11553719;0.001998424530029297;True;25
708347459;29209;24251;29209;0.0;True;16
64507;257;251;257;0.0;True;10
1298222071899983;9746339;133200997;9746339;0.00697779655456543;True;28
14711471318473;3108893;4732061;4732061;0.0009992122650146484;True;23
234324029;16097;14557;16097;0.0009982585906982422;True;14
22506251;5737;3923;3923;0.0;True;13
110323328996359;11366041;9706399;11366041;0.002993345260620117;True;25
22711887871;101287;224233;101287;0.0;True;20
2630233;3851;683;683;0.0;True;12
3280066155493;1358323;2414791;1358323;0.0;True;22
120433609027;356981;337367;337367;0.001997709274291992;True;19
356317542038891;59760427;5962433;5962433;0.0049953460693359375;True;27
71033;251;283;283;0.0;True;10
7228333069468883;167288281;43208843;43208843;0.03296637535095215;True;30
39850673441;259507;153563;259507;0.0009989738464355469;True;18
273019463159;106321;2567879;106321;0.0;True;22
11067305236196809;177969811;62186419;62186419;0.07592415809631348;True;29
